시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,한국석유,004090,16770,158.5,63.9,15766.0,14641.0,14337.0,7.69,2.87,80.4,2.6,945328
KOSPI,한화손해보험,000370,7970,212.9,65.4,7040.0,5973.0,5789.0,17.87,2.48,73.8,7.3,2671249
KOSPI,한농화성,011500,26350,304.2,57.1,25335.0,19230.0,17112.0,31.75,2.04,89.5,4.2,1154545
KOSDAQ,우진엔텍,457550,30000,106.7,66.0,28075.0,24220.0,23856.0,15.92,1.94,71.4,3.8,355580
KOSDAQ,이랜텍,054210,11790,140.7,61.4,10858.0,9658.0,8907.0,12.42,1.89,90.8,6.4,1193668
KOSDAQ,디케이티,290550,11410,95.5,57.0,10860.0,8366.0,8208.0,29.8,1.88,83.6,5.6,836598
KOSDAQ,씨아이에스,222080,13810,561.3,58.1,12982.0,9194.0,8111.0,41.2,1.84,87.6,2.5,4064225
KOSDAQ,제룡산업,147830,7900,75.6,56.8,7638.0,6863.0,6566.0,11.29,1.62,86.3,-0.3,957273
KOSPI,유진투자증권,001200,5510,1239.4,69.1,4634.0,3878.0,3756.0,19.49,1.57,81.5,-8.0,22492780
KOSPI,우진,105840,26200,247.4,57.6,25842.0,21510.0,17834.0,20.14,1.53,87.0,-0.8,944115
KOSPI,이수화학,005950,9570,81.9,51.3,9305.0,9075.0,8321.0,2.53,1.5,68.5,1.7,855440
KOSDAQ,LB인베스트먼트,309960,6820,235.0,61.9,6447.0,5845.0,5523.0,10.3,1.48,88.0,-1.2,3446227
KOSPI,한화투자증권,003530,8530,4638.1,63.8,7132.0,5608.0,5571.0,27.18,1.46,82.8,-10.8,54373709
KOSPI,유안타증권,003470,5390,272.3,67.3,4786.0,4122.0,3917.0,16.11,1.44,84.6,-8.3,5051577
KOSDAQ,케이엔에스,432470,16750,693.2,63.4,15380.0,12204.0,11731.0,26.02,1.4,82.1,6.4,4138460
KOSDAQ,케이엔솔,053080,14390,76.5,68.0,13154.0,12215.0,11873.0,7.68,1.37,95.2,5.3,531341
KOSDAQ,큐로셀,372320,54200,102.2,56.4,50990.0,47769.0,43928.0,6.74,1.35,93.3,4.8,188542
KOSDAQ,성우하이텍,015750,8640,100.5,61.2,8070.0,7366.0,6761.0,9.56,1.31,94.0,0.8,1163289
KOSDAQ,하나기술,299030,31300,80.1,54.9,30978.0,30459.0,29271.0,1.7,1.3,87.3,3.6,255908
KOSPI,삼성화재,000810,548000,630.6,60.6,533000.0,506967.0,484462.0,5.14,1.28,84.8,-3.9,115074
KOSPI,더블유게임즈,192080,54500,71.2,57.2,54375.0,53642.0,52810.0,1.37,1.26,85.4,0.9,130592
KOSPI,한국가스공사,036460,43900,160.8,65.6,42018.0,40971.0,40742.0,2.55,1.26,89.0,2.5,366267
KOSDAQ,LS마린솔루션,060370,32700,103.1,59.4,30590.0,30002.0,27535.0,1.96,1.25,89.2,5.1,315402
KOSDAQ,자람테크놀로지,389020,49100,110.1,62.0,44222.0,39741.0,38491.0,11.28,1.25,88.5,3.6,224313
KOSPI,파미셀,005690,17230,257.8,64.6,15482.0,15174.0,14742.0,2.04,1.23,82.8,-0.1,1496295
KOSPI,LX인터내셔널,001120,44700,193.4,66.3,42725.0,36444.0,33567.0,17.23,1.21,89.8,-6.6,432613
KOSDAQ,KH바텍,060720,18000,600.1,45.9,16994.0,13806.0,13208.0,23.09,1.19,90.2,5.1,3333887
KOSPI,두산밥캣,241560,64200,412.5,48.1,62885.0,60520.0,58703.0,3.91,1.17,86.9,-0.2,642489
KOSPI,한국금융지주,071050,267000,885.3,66.4,237090.0,191223.0,173753.0,23.99,1.16,88.9,-5.8,331575
KOSPI,KT&G,033780,169700,891.1,64.7,164820.0,150685.0,144094.0,9.38,1.14,93.5,-3.1,525083
KOSPI,한화오션,042660,140000,1951.5,48.8,138385.0,127612.0,123292.0,8.44,1.13,91.9,-0.4,1393956
KOSPI,GS,078930,70200,253.8,54.8,69670.0,61575.0,55480.0,13.15,1.09,86.7,-4.1,361549
KOSPI,JB금융지주,175330,32300,275.7,67.9,30295.0,26600.0,24991.0,13.89,1.08,83.9,-11.7,853636
KOSDAQ,서진시스템,178320,39100,1229.3,56.3,36505.0,29980.0,26710.0,21.76,1.07,91.4,-2.1,3143971
KOSPI,신성이엔지,011930,2135,358.0,62.2,2104.0,1773.0,1754.0,18.62,1.04,81.2,-9.3,16770292
KOSPI,영원무역,111770,93000,106.6,55.4,89455.0,87578.0,75941.0,2.14,1.03,93.8,7.1,114594
KOSPI,iM금융지주,139130,19090,235.9,67.5,18159.0,15806.0,14837.0,14.89,1.03,86.8,-6.9,1235809
KOSDAQ,한중엔시에스,107640,52000,125.1,54.4,50330.0,48433.0,45299.0,3.92,1.02,90.9,3.0,240574
KOSDAQ,피에스케이홀딩스,031980,89400,369.1,59.4,77220.0,58487.0,52207.0,32.03,1.02,96.2,-0.1,412811
